localitate,email,latitudine,longitudine
Tulcea,mailto:contact@primariatulcea.ro,45.1775,28.803611111
București,mailto:relatiipublice@pmb.ro,44.413361111,26.097777777
Malnaș,mailto:malnas2004@yahoo.com,46.016666666,25.833333333
Caransebeș,mailto:primaria.caransebes@gmail.com,45.421388888,22.221944444
Cugir,mailto:office@primariacugir.ro,45.843611111,23.363611111
Șoarș,mailto:primariasoars@yahoo.com,45.929166666,24.925555555
Bicaz,mailto:primariabicaz@yahoo.com,46.910833333,26.091111111
Rupea,mailto:contact@primariarupea.ro,46.038888888,25.2225
Jimbolia,mailto:cabinet.primar@jimbolia.ro,45.791666666,20.722222222
Motru,mailto:primaria@primariamotru.ro,44.804166666,22.969444444
Cerna,mailto:primariacernatl@yahoo.com,45.08333333,28.31666667
Ormeniș,mailto:primariaormenis@yahoo.com,46.004722,25.556667
Săveni,mailto:primaria_saveni@yahoo.com,47.953333333,26.858888888
Isaccea,mailto:secretariatisaccea@gmail.com,45.269722222,28.459722222
Zărnești,mailto:primaria@primaria-zarnesti.ro,45.5725,25.343055555
Suceava,mailto:primsv@primariasv.ro,47.651388888,26.255555555
Iași,mailto:cabinet.primar@primaria-iasi.ro,47.162222222,27.588888888
Vârghiș,mailto:primariavarghis@yahoo.com,46.133333333,25.533333333
Brebu,mailto:primaria_brebu@yahoo.com,45.42027778,21.9925
Bocșa,mailto:primariabocsa@yahoo.com,45.374722222,21.710555555
Oțelu Roșu,mailto:primaria_otelurosu@yahoo.com,45.533333333,22.366666666
Reșița,mailto:centru@primariaresita.ro,45.3,21.890277777
Constanța,mailto:primarie@primaria-constanta.ro,44.1767161,28.6507598
Brașov,mailto:contact@brasovcity.ro,45.652222222,25.610555555
Sibiu,mailto:pms@sibiu.ro,45.8,24.15
Timișoara,mailto:primariatm@primariatm.ro,45.759722222,21.23
Oradea,mailto:primarie@oradea.ro,47.072222222,21.921111111
Cluj-Napoca,mailto:registratura@primariaclujnapoca.ro,46.76891,23.59066
Avrămești,mailto:primaria.avramesti@gmail.com,46.363612,25.02208
Găești,mailto:primaria.gaesti@yahoo.com,44.720833333,25.314722222
Zalău,mailto:primaria@zalausj.ro,47.191111111,23.057222222
Zam,mailto:zamprimaria@gmail.com,46.0,22.4
Miercurea Nirajului,mailto:mniraj@cjmures.ro,46.53,24.8
Ungheni,mailto:ungheni@cjmures.ro,46.485833333,24.460833333
Sector 6,mailto:prim6@primarie6.ro,44.43527778,26.10277778
Sector 5,mailto:primarie@sector5.ro,44.43527778,26.10277778
Sărmașu,mailto:primaria@sarmasu.ro,46.753611111,24.166666666
Craiova,mailto:relatiicupublicul@primariacraiova.ro,44.333333333,23.816666666
Bragadiru,mailto:registratura@primariaorasbragadiru.ro,44.36944444,25.97527778
