localitate,email,latitudine,longitudine,domeniu
Tulcea,mailto:contact@primariatulcea.ro,45.1775,28.803611111,primariatulcea.ro
București,mailto:relatiipublice@pmb.ro,44.413361111,26.097777777,pmb.ro
Malnaș,mailto:malnas2004@yahoo.com,46.016666666,25.833333333,yahoo.com
Caransebeș,mailto:primaria.caransebes@gmail.com,45.421388888,22.221944444,gmail.com
Cugir,mailto:office@primariacugir.ro,45.843611111,23.363611111,primariacugir.ro
Șoarș,mailto:primariasoars@yahoo.com,45.929166666,24.925555555,yahoo.com
Bicaz,mailto:primariabicaz@yahoo.com,46.910833333,26.091111111,yahoo.com
Rupea,mailto:contact@primariarupea.ro,46.038888888,25.2225,primariarupea.ro
Jimbolia,mailto:cabinet.primar@jimbolia.ro,45.791666666,20.722222222,jimbolia.ro
Motru,mailto:primaria@primariamotru.ro,44.804166666,22.969444444,primariamotru.ro
Cerna,mailto:primariacernatl@yahoo.com,45.08333333,28.31666667,yahoo.com
Ormeniș,mailto:primariaormenis@yahoo.com,46.004722,25.556667,yahoo.com
Săveni,mailto:primaria_saveni@yahoo.com,47.953333333,26.858888888,yahoo.com
Isaccea,mailto:secretariatisaccea@gmail.com,45.269722222,28.459722222,gmail.com
Zărnești,mailto:primaria@primaria-zarnesti.ro,45.5725,25.343055555,primaria-zarnesti.ro
Suceava,mailto:primsv@primariasv.ro,47.651388888,26.255555555,primariasv.ro
Iași,mailto:cabinet.primar@primaria-iasi.ro,47.162222222,27.588888888,primaria-iasi.ro
Vârghiș,mailto:primariavarghis@yahoo.com,46.133333333,25.533333333,yahoo.com
Brebu,mailto:primaria_brebu@yahoo.com,45.42027778,21.9925,yahoo.com
Bocșa,mailto:primariabocsa@yahoo.com,45.374722222,21.710555555,yahoo.com
Oțelu Roșu,mailto:primaria_otelurosu@yahoo.com,45.533333333,22.366666666,yahoo.com
Reșița,mailto:centru@primariaresita.ro,45.3,21.890277777,primariaresita.ro
Constanța,mailto:primarie@primaria-constanta.ro,44.1767161,28.6507598,primaria-constanta.ro
Brașov,mailto:contact@brasovcity.ro,45.652222222,25.610555555,brasovcity.ro
Sibiu,mailto:pms@sibiu.ro,45.8,24.15,sibiu.ro
Timișoara,mailto:primariatm@primariatm.ro,45.759722222,21.23,primariatm.ro
Oradea,mailto:primarie@oradea.ro,47.072222222,21.921111111,oradea.ro
Cluj-Napoca,mailto:registratura@primariaclujnapoca.ro,46.76891,23.59066,primariaclujnapoca.ro
Avrămești,mailto:primaria.avramesti@gmail.com,46.363612,25.02208,gmail.com
Găești,mailto:primaria.gaesti@yahoo.com,44.720833333,25.314722222,yahoo.com
Zalău,mailto:primaria@zalausj.ro,47.191111111,23.057222222,zalausj.ro
Zam,mailto:zamprimaria@gmail.com,46.0,22.4,gmail.com
Miercurea Nirajului,mailto:mniraj@cjmures.ro,46.53,24.8,cjmures.ro
Ungheni,mailto:ungheni@cjmures.ro,46.485833333,24.460833333,cjmures.ro
Sector 6,mailto:prim6@primarie6.ro,44.43527778,26.10277778,primarie6.ro
Sector 5,mailto:primarie@sector5.ro,44.43527778,26.10277778,sector5.ro
Sărmașu,mailto:primaria@sarmasu.ro,46.753611111,24.166666666,sarmasu.ro
Craiova,mailto:relatiicupublicul@primariacraiova.ro,44.333333333,23.816666666,primariacraiova.ro
Bragadiru,mailto:registratura@primariaorasbragadiru.ro,44.36944444,25.97527778,primariaorasbragadiru.ro
Sângeorgiu de Pădure,mailto:office@sgpadure.ro,46.430277777,24.841666666,sgpadure.ro
Chitila,mailto:primar@primariachitila.ro,44.517222222,25.975277777,primariachitila.ro
Pantelimon,mailto:secretariat@primariapantelimon.ro,44.452777777,26.203611111,primariapantelimon.ro
Galați,mailto:info544@primariagalati.ro,45.433611111,28.055277777,primariagalati.ro
Arad,mailto:pma@primariaarad.ro,46.166666666,21.316666666,primariaarad.ro
Alba Iulia,mailto:office@apulum.ro,46.076388888,23.572777777,apulum.ro
Botoșani,mailto:primaria@primariabt.ro,47.748611111,26.669444444,primariabt.ro
Nehoiu,mailto:primarianehoiu@yahoo.com,45.4153188,26.3081609,yahoo.com
Ploiești,mailto:comunicare@ploiesti.ro,44.941111111,26.0225,ploiesti.ro
Pianu,mailto:primariacomuneipianu@yahoo.com,45.896111111,23.481944444,yahoo.com
Baia Mare,mailto:primar@baiamare.ro,47.656666666,23.571944444,baiamare.ro
Satu Mare,mailto:primaria@primariasm.ro,47.79,22.89,primariasm.ro
Turceni,mailto:turceni@gj.e-adm.ro,44.67944444,23.37305556,gj.e-adm.ro
Târgu Mureș,mailto:primaria@tirgumures.ro,46.549722222,24.559722222,tirgumures.ro
Ocna Sibiului,mailto:primariaocna@yahoo.com,45.874722222,24.066666666,yahoo.com
Bistrița,mailto:primaria@primariabistrita.ro,47.133333333,24.483333333,primariabistrita.ro
