localitate,email,latitudine,longitudine,domeniu,inregistrari_mx,inregistrare_spf
Tulcea,mailto:contact@primariatulcea.ro,45.1775,28.803611111,primariatulcea.ro,20 mx2-eu.emailsecurity.app; 10 mx1-eu.emailsecurity.app,v=spf1 include:relay.romarg.net include:spf.scanscope.net include:spf1.emailsecurity.app -all
București,mailto:relatiipublice@pmb.ro,44.413361111,26.097777777,pmb.ro,10 mailq.pmb.ro,v=spf1 mx a ip4:91.212.70.0/25 -all
Malnaș,mailto:malnas2004@yahoo.com,46.016666666,25.833333333,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Caransebeș,mailto:primaria.caransebes@gmail.com,45.421388888,22.221944444,gmail.com,30 alt3.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Cugir,mailto:office@primariacugir.ro,45.843611111,23.363611111,primariacugir.ro,0 primariacugir.ro,v=spf1 +a +mx +ip4:176.223.125.87 include:spf.mxserver.ro ~all
Șoarș,mailto:primariasoars@yahoo.com,45.929166666,24.925555555,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Bicaz,mailto:primariabicaz@yahoo.com,46.910833333,26.091111111,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Rupea,mailto:contact@primariarupea.ro,46.038888888,25.2225,primariarupea.ro,10 mx01.whmpanels.com; 20 mx02.whmpanels.com; 30 mx03.whmpanels.com,v=spf1 include:relay.romarg.net -all
Jimbolia,mailto:cabinet.primar@jimbolia.ro,45.791666666,20.722222222,jimbolia.ro,10 mx1.avolo.ro,v=spf1 a mx -all
Motru,mailto:primaria@primariamotru.ro,44.804166666,22.969444444,primariamotru.ro,0 primariamotru.ro,v=spf1 ip4:86.107.43.49 ip4:31.14.56.201 ip4:93.113.174.11 include:mx.teoszan.ro +a +mx +ip4:176.223.114.6 +ip4:92.114.3.214 +ip4:92.114.3.210 ~all
Cerna,mailto:primariacernatl@yahoo.com,45.08333333,28.31666667,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Ormeniș,mailto:primariaormenis@yahoo.com,46.004722,25.556667,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Săveni,mailto:primaria_saveni@yahoo.com,47.953333333,26.858888888,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Isaccea,mailto:secretariatisaccea@gmail.com,45.269722222,28.459722222,gmail.com,40 alt4.gmail-smtp-in.l.google.com; 30 alt3.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Zărnești,mailto:primaria@primaria-zarnesti.ro,45.5725,25.343055555,primaria-zarnesti.ro,20 spamguard2.mxserver.ro; 10 spamguard1.mxserver.ro,v=spf1 ip4:95.214.132.227 include:spf.mxserver.ro +a +mx +ip4:188.215.245.95 -all
Suceava,mailto:primsv@primariasv.ro,47.651388888,26.255555555,primariasv.ro,20 mx2-eu.emailsecurity.app; 50 mail.primariasv.ro; 10 mx1-eu.emailsecurity.app; 60 relay.primariasv.ro,v=spf1 ip4:81.196.52.234 include:_spf.google.com -all
Iași,mailto:cabinet.primar@primaria-iasi.ro,47.162222222,27.588888888,primaria-iasi.ro,20 email.primaria-iasi.ro; 10 mail.primaria-iasi.ro,v=spf1 ip4:82.77.24.51 a:mail.primaria-iasi.ro include:spf.sendinblue.com mx -all
Vârghiș,mailto:primariavarghis@yahoo.com,46.133333333,25.533333333,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Brebu,mailto:primaria_brebu@yahoo.com,45.42027778,21.9925,yahoo.com,1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Bocșa,mailto:primariabocsa@yahoo.com,45.374722222,21.710555555,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta6.am0.yahoodns.net,
Oțelu Roșu,mailto:primaria_otelurosu@yahoo.com,45.533333333,22.366666666,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Reșița,mailto:centru@primariaresita.ro,45.3,21.890277777,primariaresita.ro,0 mail.primariaresita.ro,v=spf1 +a +mx +ip4:81.18.72.65 +ip4:81.18.72.68 ~all
Constanța,mailto:primarie@primaria-constanta.ro,44.1767161,28.6507598,primaria-constanta.ro,10 primariaconstanta-ro02b.mail.protection.outlook.com,v=spf1 a mx ip4:89.35.128.78 ip4:81.196.166.160/28 ip4:194.102.108.0/24 ip4:84.247.31.0/24 ip4:217.19.7.0/24 include:spf.protection.outlook.com -all
Brașov,mailto:contact@brasovcity.ro,45.652222222,25.610555555,brasovcity.ro,10 mx.brasovcity.ro,v=spf1 mx a ip4:82.77.44.17 ip4:82.77.44.20 ip4:213.177.5.71 include:primirf.brasovcity.ro -all
Sibiu,mailto:pms@sibiu.ro,45.8,24.15,sibiu.ro,30 aspmx4.googlemail.com; 30 aspmx2.googlemail.com; 20 alt1.aspmx.l.google.com; 30 aspmx3.googlemail.com; 15 aspmx.l.google.com; 20 alt2.aspmx.l.google.com,v=spf1 mx ip4:193.186.10.8/32 ip4:139.162.133.171/32 include:_spf.google.com -all
Timișoara,mailto:primariatm@primariatm.ro,45.759722222,21.23,primariatm.ro,5 primariatm-ro.mail.protection.outlook.com,v=spf1 +a +mx +ip4:89.42.116.133 +ip4:213.177.12.119 +ip4:89.36.93.128 +ip4:89.121.224.226 include:spf.protection.outlook.com include:eu.zcsend.net include:one.zoho.eu -all
Oradea,mailto:primarie@oradea.ro,47.072222222,21.921111111,oradea.ro,0 oradea-ro.mail.protection.outlook.com,v=spf1 ip4:86.125.34.94 ip4:86.127.119.66 include:spf.protection.outlook.com -all
Cluj-Napoca,mailto:registratura@primariaclujnapoca.ro,46.76891,23.59066,primariaclujnapoca.ro,5 mx.primariaclujnapoca.ro,
Avrămești,mailto:primaria.avramesti@gmail.com,46.363612,25.02208,gmail.com,30 alt3.gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Găești,mailto:primaria.gaesti@yahoo.com,44.720833333,25.314722222,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Zalău,mailto:primaria@zalausj.ro,47.191111111,23.057222222,zalausj.ro,10 mail.zalausj.ro,v=spf1 mx a
Zam,mailto:zamprimaria@gmail.com,46.0,22.4,gmail.com,30 alt3.gmail-smtp-in.l.google.com; 20 alt2.gmail-smtp-in.l.google.com; 10 alt1.gmail-smtp-in.l.google.com; 40 alt4.gmail-smtp-in.l.google.com; 5 gmail-smtp-in.l.google.com,v=spf1 redirect=_spf.google.com
Miercurea Nirajului,mailto:mniraj@cjmures.ro,46.53,24.8,cjmures.ro,5 mx1-eu.emailsecurity.app; 6 mx2-eu.emailsecurity.app,v=spf1 +a +mx +ip4:84.232.181.63 +ip4:5.2.178.88 include:spf1.emailsecurity.app ~all
Ungheni,mailto:ungheni@cjmures.ro,46.485833333,24.460833333,cjmures.ro,5 mx1-eu.emailsecurity.app; 6 mx2-eu.emailsecurity.app,v=spf1 +a +mx +ip4:84.232.181.63 +ip4:5.2.178.88 include:spf1.emailsecurity.app ~all
Sector 6,mailto:prim6@primarie6.ro,44.43527778,26.10277778,primarie6.ro,30 mx03.whmpanels.com; 20 mx02.whmpanels.com; 10 mx01.whmpanels.com,v=spf1 include:relay.romarg.net -all
Sector 5,mailto:primarie@sector5.ro,44.43527778,26.10277778,sector5.ro,0 mail.sector5.ro,v=spf1 ip4:84.232.181.95 ip4:188.213.21.141 +a +mx -all
Sărmașu,mailto:primaria@sarmasu.ro,46.753611111,24.166666666,sarmasu.ro,0 sarmasu.ro,v=spf1 ip4:86.107.43.36 ip4:37.156.4.151 ip4:86.107.43.58 ip4:212.146.84.3 +a +mx +ip4:86.107.43.75 +ip4:212.146.84.158 +ip4:88.198.169.136 +include:websitewelcome.com ~all
Craiova,mailto:relatiicupublicul@primariacraiova.ro,44.333333333,23.816666666,primariacraiova.ro,200 wmail.primariacraiova.ro; 10 mail.primariacraiova.ro,v=spf1 ip4:82.77.65.9 +all
Bragadiru,mailto:registratura@primariaorasbragadiru.ro,44.36944444,25.97527778,primariaorasbragadiru.ro,0 primariaorasbragadiru.ro,v=spf1 ip4:31.14.23.171 ip4:89.36.131.27 +a +mx +ip4:188.213.20.34 +include:spf.mxserver.ro +ip4:91.195.28.198 +ip4:31.14.23.222 +ip4:176.126.200.105 +ip4:176.126.203.242 +ip4:176.126.200.111 +ip4:176.126.203.172 ~all
Sângeorgiu de Pădure,mailto:office@sgpadure.ro,46.430277777,24.841666666,sgpadure.ro,20 mx20.antispam.mailspamprotection.com; 30 mx30.antispam.mailspamprotection.com; 10 mx10.antispam.mailspamprotection.com,v=spf1 +a +mx +ip4:35.214.231.104 include:sgpadure.ro.spf.auto.dnssmarthost.net ~all
Chitila,mailto:primar@primariachitila.ro,44.517222222,25.975277777,primariachitila.ro,20 spamguard2.mxserver.ro; 10 spamguard1.mxserver.ro,v=spf1 ip4:91.195.28.201 ip4:185.236.84.216 +a +mx +ip4:89.44.47.212 +include:spf.mxserver.ro ~all
Pantelimon,mailto:secretariat@primariapantelimon.ro,44.452777777,26.203611111,primariapantelimon.ro,10 mail.primariapantelimon.ro,v=spf1 a mx -all
Galați,mailto:info544@primariagalati.ro,45.433611111,28.055277777,primariagalati.ro,10 mail.primariagalati.ro,v=spf1 mx a:mail.primariagalati.ro ip4:92.82.177.181 include:_spf.google.com -all
Arad,mailto:pma@primariaarad.ro,46.166666666,21.316666666,primariaarad.ro,0 mail.primariaarad.ro,v=spf1 ip4:213.177.29.174 ~all
Alba Iulia,mailto:office@apulum.ro,46.076388888,23.572777777,apulum.ro,10 mx1-eu.emailsecurity.app; 20 mx2-eu.emailsecurity.app,v=spf1 a mx a:apulum.ro ip4:52.236.20.16/28 ip4:20.223.75.176/28 ip4:20.223.50.128/28 ip4:20.238.157.40/29 ip4:3.64.45.249 ip4:3.67.57.50 ip4:52.166.173.187 ip4:52.174.155.154 ip4:20.123.98.0/24 ip4:193.231.246.10 ip4:193.231.246.20 ip4:193.231.246.32 include:scanscope.net include:spf1.emailsecurity.app -all
Botoșani,mailto:primaria@primariabt.ro,47.748611111,26.669444444,primariabt.ro,0 primariabt-ro.mail.protection.outlook.com,v=spf1 +a +mx +ip4:195.64.179.198 +ip4:195.64.178.30 +ip4:195.64.178.19 +ip4:195.64.178.2 +include:spf.protection.outlook.com -all
Nehoiu,mailto:primarianehoiu@yahoo.com,45.4153188,26.3081609,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Ploiești,mailto:comunicare@ploiesti.ro,44.941111111,26.0225,ploiesti.ro,10 mail.ploiesti.ro,v=spf1 mx ip4:213.177.4.186 -all
Pianu,mailto:primariacomuneipianu@yahoo.com,45.896111111,23.481944444,yahoo.com,1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net; 1 mta7.am0.yahoodns.net,
Baia Mare,mailto:primar@baiamare.ro,47.656666666,23.571944444,baiamare.ro,0 mail.baiamare.ro,v=spf1 ip4:185.104.182.35 +a +mx +ip4:185.104.182.79 +ip4:185.104.182.33 +ip4:93.115.113.36 +ip4:93.115.113.46 -all
Satu Mare,mailto:primaria@primariasm.ro,47.79,22.89,primariasm.ro,10 alt3.aspmx.l.google.com; 5 alt1.aspmx.l.google.com; 5 alt2.aspmx.l.google.com; 10 alt4.aspmx.l.google.com; 1 aspmx.l.google.com,
Turceni,mailto:turceni@gj.e-adm.ro,44.67944444,23.37305556,gj.e-adm.ro,10 mx2.stsmail.ro; 10 mx1.stsmail.ro,v=spf1 mx ip4:193.151.29.160/27 include:stsmail.ro ~all
Târgu Mureș,mailto:primaria@tirgumures.ro,46.549722222,24.559722222,tirgumures.ro,5 mail.tirgumures.ro; 10 s.tirgumures.ro,v=spf1 include:sendgrid.net +a +mx +ip4:136.243.33.146 +ip4:162.55.15.49 +ip4:193.226.116.172 +ipv4:5.2.178.80 ~all
Ocna Sibiului,mailto:primariaocna@yahoo.com,45.874722222,24.066666666,yahoo.com,1 mta7.am0.yahoodns.net; 1 mta6.am0.yahoodns.net; 1 mta5.am0.yahoodns.net,
Bistrița,mailto:primaria@primariabistrita.ro,47.133333333,24.483333333,primariabistrita.ro,10 mailgw.primariabistrita.ro,v=spf1 ip4:89.41.57.83 ~all
Pitești,mailto:primaria@primariapitesti.ro,44.866666666,24.883333333,primariapitesti.ro,0 primariapitesti-ro.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all
